iter	Passed	Remaining
0	161	161055
1	162	81031
2	163	54398
3	164	41014
4	166	33035
5	167	27683
6	168	23877
7	169	21039
8	170	18796
9	171	17020
10	173	15581
11	174	14358
12	175	13341
13	177	12477
14	178	11725
15	179	11061
16	180	10459
17	182	9932
18	183	9467
19	184	9030
20	185	8629
21	185	8267
22	187	7952
23	188	7652
24	189	7375
25	190	7120
26	191	6907
27	192	6696
28	193	6488
29	194	6302
30	196	6133
31	197	5965
32	198	5811
33	199	5657
34	200	5523
35	201	5389
36	202	5262
37	203	5150
38	204	5048
39	206	4951
40	207	4854
41	208	4753
42	209	4657
43	210	4566
44	210	4476
45	211	4391
46	212	4313
47	213	4234
48	214	4162
49	215	4093
50	216	4028
51	217	3971
52	219	3915
53	220	3857
54	221	3802
55	222	3744
56	223	3690
57	223	3636
58	224	3586
59	225	3536
60	226	3488
61	227	3443
62	228	3399
63	229	3355
64	230	3316
65	231	3274
66	232	3234
67	233	3200
68	234	3169
69	235	3130
70	236	3092
71	237	3055
72	237	3020
73	238	2988
74	239	2952
75	240	2920
76	241	2890
77	241	2859
78	242	2828
79	243	2797
80	243	2768
81	244	2740
82	245	2710
83	246	2684
84	247	2660
85	248	2639
86	249	2617
87	250	2593
88	251	2571
89	251	2547
90	252	2523
91	253	2499
92	253	2476
93	254	2455
94	255	2434
95	256	2413
96	257	2393
97	258	2376
98	258	2356
99	259	2337
100	260	2317
101	261	2299
102	262	2285
103	263	2269
104	264	2252
105	265	2236
106	266	2221
107	267	2205
108	267	2189
109	268	2176
110	269	2160
111	270	2144
112	271	2128
113	271	2113
114	272	2098
115	273	2082
116	273	2065
117	274	2051
118	275	2037
119	276	2025
120	277	2015
121	278	2004
122	279	1991
123	279	1977
124	280	1963
125	281	1950
126	281	1936
127	282	1923
128	282	1910
129	283	1897
130	284	1884
131	284	1872
132	285	1859
133	285	1847
134	286	1835
135	287	1824
136	287	1812
137	288	1801
138	289	1792
139	290	1783
140	291	1776
141	292	1766
142	293	1757
143	293	1747
144	294	1737
145	295	1727
146	295	1717
147	296	1708
148	297	1700
149	299	1694
150	299	1686
151	300	1679
152	301	1670
153	302	1662
154	303	1654
155	304	1647
156	305	1640
157	306	1634
158	307	1627
159	308	1618
160	308	1608
161	309	1599
162	309	1591
163	310	1582
164	311	1574
165	311	1566
166	312	1558
167	312	1550
168	313	1542
169	314	1534
170	314	1526
171	315	1518
172	316	1511
173	316	1503
174	317	1496
175	318	1489
176	318	1482
177	320	1477
178	321	1472
179	322	1467
180	322	1461
181	323	1454
182	324	1448
183	325	1442
184	325	1435
185	326	1429
186	327	1423
187	328	1417
188	328	1411
189	329	1404
190	330	1399
191	331	1393
192	331	1387
193	332	1382
194	333	1376
195	334	1372
196	335	1368
197	337	1365
198	338	1361
199	339	1358
200	340	1353
201	342	1352
202	343	1349
203	344	1345
204	345	1341
205	346	1337
206	347	1332
207	348	1328
208	350	1324
209	351	1321
210	352	1316
211	352	1311
212	353	1307
213	354	1302
214	355	1297
215	356	1292
216	356	1288
217	357	1283
218	358	1278
219	359	1273
220	359	1268
221	360	1264
222	361	1261
223	362	1256
224	363	1252
225	364	1249
226	366	1246
227	367	1243
228	368	1239
229	369	1236
230	370	1231
231	370	1227
232	371	1222
233	372	1218
234	372	1213
235	373	1209
236	374	1205
237	375	1200
238	375	1196
239	376	1191
240	377	1187
241	377	1183
